station_method z h g
GKBS_time 322 317 375
TBAS_time 355 448 480
TUDS_time 115 184 214
TBAS_time 355 448 480
TUDS_time 115 184 214
TDHS_time 290 428 479
ECLS_time 354 456 498
GKBS_time 322 317 375
GISS_time 310 357 408
WFSS_time 240 212 244
KFHS_time 124 149 169
HNPS_time 136 159 174
ORCS_time 100 119 144
TTHS_time 104 124 143
WAIS_time 108 139 148
TIRS_time 95 140 158
ROTS_time 164 206 271
OPCS_time 164 84 98
KAFS_time 153 117 138
WKHS_time 212 249 311
TKHS_time 138 203 237
TUHS_time 107 113 128
WCDS_time 150 246 255
