event_id,exception
2012p013984,'NoneType' object is not subscriptable
2012p075555,'NoneType' object has no attribute 'origins'
2012p183261,'NoneType' object is not subscriptable
2012p242656,'NoneType' object has no attribute 'origins'
2012p525903,'NoneType' object is not subscriptable
2012p560243,'NoneType' object is not subscriptable
2012p629965,'NoneType' object is not subscriptable
2012p798736,'NoneType' object has no attribute 'origins'
2012p820409,'NoneType' object is not subscriptable
2012p861300,'NoneType' object has no attribute 'origins'
2012p988084,'NoneType' object has no attribute 'origins'
2013p027657,'NoneType' object has no attribute 'origins'
2013p086823,'NoneType' object has no attribute 'origins'
2013p128381,'NoneType' object has no attribute 'origins'
2013p142607,'NoneType' object has no attribute 'origins'
2013p432496,'NoneType' object has no attribute 'origins'
2013p507880,'NoneType' object has no attribute 'origins'
2013p538215,'NoneType' object has no attribute 'origins'
2013p542958,'NoneType' object has no attribute 'origins'
2013p543121,'NoneType' object has no attribute 'origins'
2013p543825,'NoneType' object is not subscriptable
2013p543829,'NoneType' object is not subscriptable
2013p543832,'NoneType' object is not subscriptable
2013p543861,'NoneType' object is not subscriptable
2013p543865,'NoneType' object is not subscriptable
2013p544030,'NoneType' object has no attribute 'origins'
2013p544197,'NoneType' object has no attribute 'origins'
2013p544317,'NoneType' object has no attribute 'origins'
2013p544344,'NoneType' object has no attribute 'origins'
2013p544668,'NoneType' object has no attribute 'origins'
2013p544960,'NoneType' object has no attribute 'origins'
2013p544974,'NoneType' object has no attribute 'origins'
2013p546702,'NoneType' object has no attribute 'origins'
2013p547469,'NoneType' object has no attribute 'origins'
2013p565386,'NoneType' object has no attribute 'origins'
2013p572878,'NoneType' object has no attribute 'origins'
2013p574429,'NoneType' object has no attribute 'origins'
2013p613798,'NoneType' object is not subscriptable
2013p613809,'NoneType' object is not subscriptable
2013p613836,'NoneType' object is not subscriptable
2013p613844,'NoneType' object is not subscriptable
2013p613862,'NoneType' object is not subscriptable
2013p613868,'NoneType' object is not subscriptable
2013p613891,'NoneType' object is not subscriptable
2013p613901,'NoneType' object is not subscriptable
2013p613947,'NoneType' object has no attribute 'origins'
2013p614125,'NoneType' object is not subscriptable
2013p614184,'NoneType' object has no attribute 'origins'
2013p614185,'NoneType' object is not subscriptable
2013p614268,'NoneType' object has no attribute 'origins'
2013p614345,'NoneType' object has no attribute 'origins'
2013p614487,'NoneType' object has no attribute 'origins'
2013p615178,'NoneType' object has no attribute 'origins'
2013p616691,'NoneType' object has no attribute 'origins'
2013p618032,'NoneType' object has no attribute 'origins'
2013p666224,'NoneType' object has no attribute 'origins'
2013p739681,'NoneType' object has no attribute 'origins'
2013p916300,'NoneType' object has no attribute 'origins'
2014p052979,'NoneType' object is not subscriptable
2014p054100,'NoneType' object has no attribute 'origins'
2014p240753,'NoneType' object has no attribute 'origins'
2014p398473,'NoneType' object has no attribute 'origins'
2014p475199,'NoneType' object has no attribute 'origins'
2014p476125,'NoneType' object has no attribute 'origins'
2014p715168,'NoneType' object is not subscriptable
2014p742742,'NoneType' object is not subscriptable
2014p753812,'NoneType' object has no attribute 'origins'
2014p871022,'NoneType' object is not subscriptable
2014p873073,'NoneType' object is not subscriptable
2014p882389,'NoneType' object is not subscriptable
2014p901017,'NoneType' object has no attribute 'origins'
2014p915909,'NoneType' object has no attribute 'origins'
2014p952799,'NoneType' object has no attribute 'origins'
2014p967839,'NoneType' object has no attribute 'origins'
2015p150076,'NoneType' object has no attribute 'origins'
2015p278423,'NoneType' object has no attribute 'origins'
2015p302557,'NoneType' object has no attribute 'origins'
2015p305813,'NoneType' object is not subscriptable
2015p362790,'NoneType' object has no attribute 'origins'
2015p383071,'NoneType' object has no attribute 'origins'
2015p706730,'NoneType' object has no attribute 'origins'
2015p794154,'NoneType' object has no attribute 'origins'
2015p912933,'NoneType' object has no attribute 'origins'
2015p955184,'NoneType' object is not subscriptable
2015p981036,'NoneType' object has no attribute 'origins'
2016p008122,'NoneType' object has no attribute 'origins'
2016p010806,'NoneType' object has no attribute 'origins'
2016p103776,'NoneType' object is not subscriptable
2016p140897,'NoneType' object has no attribute 'origins'
2016p167557,'NoneType' object is not subscriptable
2016p188781,'NoneType' object has no attribute 'origins'
2016p198476,'NoneType' object has no attribute 'origins'
2016p198491,'NoneType' object has no attribute 'origins'
2016p275188,'NoneType' object has no attribute 'origins'
2016p356222,'NoneType' object has no attribute 'origins'
2016p411782,'NoneType' object has no attribute 'origins'
2016p474397,'NoneType' object has no attribute 'origins'
2016p500086,'NoneType' object has no attribute 'origins'
2016p661343,'NoneType' object is not subscriptable
2016p661348,'NoneType' object is not subscriptable
2016p661350,'NoneType' object is not subscriptable
2016p661354,'NoneType' object is not subscriptable
2016p661355,'NoneType' object is not subscriptable
