event_id,time,magnitude,depth_km,latitude,longitude,quality
2016p411782,2016-06-01T08:37:33.476864Z,4.53,25.564,-37.07802963,178.0002594,0
2016p861190,2016-11-14T15:22:18.158521Z,4.56,12.000,-41.69136047,174.1639557,0
2017p015402,2017-01-06T16:46:12.154376Z,4.84,27.980,-37.7519722,177.5345917,0
2016p140897,2016-02-22T03:09:56.022941Z,4.97,7.667,-41.89204025,174.2548218,0
2016p858895,2016-11-13T18:59:09.313136Z,5.36,14.725,-42.34347534,173.895401,0
2016p865907,2016-11-16T09:15:14.891483Z,4.03,15.549,-41.30108261,175.6506653,1
2016p863881,2016-11-15T15:15:56.876510Z,4.40,9.682,-41.71255493,174.2807922,1
2016p897263,2016-11-27T23:41:54.269854Z,4.41,7.003,-42.33550644,173.4631958,1
2013p547077,2013-07-22T10:03:12.541057Z,4.42,11.211,-41.65034525,174.2588723,1
2014p240708,2014-03-31T01:29:35.182606Z,4.44,16.309,-39.966501,176.54478,1
2019p791350,2019-10-20T19:11:39.865108Z,4.45,27.330,-38.70145035,177.9862061,1
2018p383105,2018-05-22T17:59:16.519555Z,4.45,17.578,-40.36657715,176.3206482,1
2012p044955,2012-01-17T15:12:30.891235Z,4.46,16.543,-40.30010279,176.5263004,1
2013p548356,2013-07-22T21:24:25.019572Z,4.48,11.621,-41.65368455,174.1950896,1
2016p439634,2016-06-11T15:57:01.175935Z,4.48,20.679,-41.61011505,174.1778107,1
2015p796404,2015-10-22T16:04:32.039772Z,4.49,14.609,-38.26073106,178.1203511,1
2017p237835,2017-03-29T23:58:49.403183Z,4.49,6.406,-38.93457219,175.6699444,1
2016p860189,2016-11-14T06:29:05.067508Z,4.49,7.339,-41.75813675,174.2966614,1
2013p545900,2013-07-21T23:35:52.160946Z,4.49,10.039,-41.64717635,174.2361902,1
2480685,2005-11-01T05:39:51.811000Z,4.50,5.000,-41.65846,174.19084,1
2481737,2005-11-03T13:16:50.389000Z,4.50,18.527,-41.74179,174.26283,1
2620132,2006-09-04T00:45:21.735000Z,4.50,20.135,-40.51642,176.83891,1
2691968,2007-02-04T19:14:26.885000Z,4.50,56.337,-39.09699,176.29611,1
3570483,2011-08-29T19:11:53.399000Z,4.50,3.000,-37.83431,176.62828,1
3591728,2011-10-08T18:07:13.784000Z,4.50,41.494,-37.80936,177.58012,1
2013p544668,2013-07-21T12:39:07.781531Z,4.50,14.258,-41.58524099,174.3425265,1
2013p544344,2013-07-21T09:47:43.301512Z,4.50,15.078,-41.53564467,174.3436382,1
2017p168407,2017-03-04T07:27:38.483931Z,4.51,9.092,-41.82998276,174.1186371,1
2017p887092,2017-11-25T05:24:05.749588Z,4.54,47.133,-37.84857941,178.1473694,1
2017p164065,2017-03-02T16:53:51.081374Z,4.55,29.844,-39.37473227,177.3162197,1
2016p962803,2016-12-22T05:41:32.661933Z,4.55,18.828,-41.80052246,174.1035141,1
2012p242656,2012-03-30T18:47:38.657751Z,4.55,17.598,-40.93159715,175.4123438,1
