publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p678295,,2017-09-08T23:15:41.485Z,2017-09-08T23:17:36.887Z,176.0269506,-39.22554689,1.80844475,48.59375,M,,NonLinLoc,,automatic,nz3drx,27,27,13,0.2643835784,103.6076945,0.6068854167,0
2017p678284,,2017-09-08T23:09:43.931Z,2017-09-08T23:11:37.567Z,175.1570954,-41.28359322,1.407408393,24.21875,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.1490780996,109.1269246,0.4017763101,0
2017p678010,,2017-09-08T20:43:51.334Z,2017-09-08T20:45:09.081Z,176.5806418,-40.09070036,1.780724046,40.625,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.1094415942,94.03660444,0.2923152247,0
2017p677724,earthquake,2017-09-08T18:11:45.201Z,2017-09-08T20:53:59.356Z,175.695323,-38.90908829,1.759137702,6.0546875,M,,NonLinLoc,confirmed,manual,nz3drx,27,24,15,0.06763587394,52.80500397,0.2398783277,0
2017p677712,,2017-09-08T18:04:58.506Z,2017-09-08T18:07:16.658Z,175.0352554,-39.11446091,2.06274739,10.859375,M,,NonLinLoc,,automatic,nz3drx,27,27,13,0.2156162224,81.14666768,0.5452167244,0
2017p677692,,2017-09-08T17:54:35.403Z,2017-09-08T18:18:00.949Z,176.5742227,-39.76968737,1.808313225,22.109375,M,,NonLinLoc,,automatic,nz3drx,15,15,10,0.1968405128,62.58758194,0.1807481538,0
2017p677583,,2017-09-08T16:56:22.540Z,2017-09-08T16:58:25.441Z,176.1291901,-38.86192618,2.021567699,74.84375,M,,NonLinLoc,,automatic,nz3drx,30,30,10,0.2268798259,92.71170842,0.7872136397,0
2017p677540,,2017-09-08T16:33:36.830Z,2017-09-08T16:35:55.054Z,175.4716954,-40.9152268,2.088437611,23.515625,M,,NonLinLoc,,automatic,nz3drx,24,24,13,0.03689142851,50.33620278,0.414201313,0
2017p677466,,2017-09-08T15:54:16.203Z,2017-09-08T15:55:52.373Z,176.5848434,-38.03961207,2.021060403,8.3984375,M,,NonLinLoc,,automatic,nz3drx,26,26,17,0.0895821577,58.56713331,0.4285639276,0
2017p677128,,2017-09-08T12:54:45.854Z,2017-09-08T12:56:19.479Z,176.5381002,-39.82442879,1.838713373,20.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.2172147976,71.08305325,1.185812109,0
2017p677041,earthquake,2017-09-08T12:07:21.307Z,2017-09-19T23:44:55.229Z,177.5565186,-41.40584183,2.758622017,171.4449615,M,,LOCSAT,confirmed,manual,iasp91,15,12,3,1.228233933,239.6624146,0.9068889239,0
2017p676971,,2017-09-08T11:30:23.339Z,2017-09-08T11:31:59.921Z,175.1108918,-39.26269122,1.740759338,22.8125,M,,NonLinLoc,,automatic,nz3drx,20,20,9,0.3011757125,104.4067355,0.5106064905,0
2017p676925,earthquake,2017-09-08T11:05:55.585Z,2017-09-19T23:36:05.651Z,174.4528961,-39.41143036,2.618562221,134.0074921,M,,LOCSAT,confirmed,manual,iasp91,26,24,6,0.3104383349,56.49466705,0.2744271116,0
2017p676872,,2017-09-08T10:37:39.369Z,2017-09-08T10:39:25.584Z,175.8310775,-40.64915908,1.83716911,20.234375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1337436909,85.05153163,0.4515842096,0
2017p676795,,2017-09-08T09:56:55.879Z,2017-09-08T09:58:56.246Z,176.0378706,-39.93935849,1.610096557,26.09375,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.1274820001,152.3363479,0.3609546305,0
2017p676610,,2017-09-08T08:18:07.081Z,2017-09-08T08:19:38.618Z,174.9489522,-39.35949848,1.778293889,20.46875,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.2737262287,119.2014111,0.6512885833,0
2017p676544,,2017-09-08T07:42:47.863Z,2017-09-08T07:44:41.379Z,176.1285298,-38.51350616,1.69816347,71.5625,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.3849280681,142.298578,0.7475002139,0
2017p676490,earthquake,2017-09-08T07:14:17.245Z,2017-09-19T23:17:12.687Z,174.2559357,-41.64058685,3.547782376,8.491555214,M,,LOCSAT,confirmed,manual,iasp91,25,21,37,0.1128402054,111.3276138,0.2408189949,0
2017p676303,earthquake,2017-09-08T05:34:43.632Z,2017-09-19T23:08:04.394Z,175.7337341,-38.09440613,2.270715429,241.235611,M,,LOCSAT,confirmed,manual,iasp91,17,12,4,0.4065645635,116.8029633,0.3700040525,0
2017p676265,earthquake,2017-09-08T05:14:12.574Z,2017-09-08T21:25:18.424Z,176.8208313,-39.16671371,3.077011886,26.21102524,M,,LOCSAT,confirmed,manual,iasp91,26,18,12,0.07044863701,47.38062286,0.4804506567,0
2017p676160,earthquake,2017-09-08T04:18:34.160Z,2017-09-19T22:31:54.942Z,178.680542,-38.43087387,2.506617234,26.28015327,M,,LOCSAT,confirmed,manual,iasp91,20,15,6,0.3751344383,239.8345795,0.2199254775,0
2017p676130,earthquake,2017-09-08T04:03:33.118Z,2017-09-19T22:29:26.556Z,174.8252258,-39.34400558,2.503473715,18.86396599,M,,LOCSAT,confirmed,manual,iasp91,33,28,12,0.2254123539,64.23832703,0.3212536176,0
2017p676001,earthquake,2017-09-08T02:53:21.334Z,2017-09-19T22:21:27.253Z,174.8278046,-39.33986664,2.832935119,18.15329933,M,,LOCSAT,confirmed,manual,iasp91,48,39,27,0.2218699008,42.19415283,0.2485248826,0
