event_id lon lat depth(km) mag
ak0239nmd2xz -148.5829 68.6196 1.3 4.0
ak0237ob1zi0 -163.6323 64.4223 14.700000000000001 4.3
ak0237g5l70e -144.4827 65.5752 15.200000000000001 4.8
ak02312e4ly8 -144.6979 69.6054 23.400000000000002 4.1
ak022fo7wvld -148.0408 64.4239 21.400000000000002 4.4
ak022er8tbc2 -147.2927 64.4814 14.6 4.0
ak022c1bhn1i -149.2346 64.737 18.900000000000002 4.5
ak021f93a45y -146.559 66.9647 19.400000000000002 4.3
ak021e7e8guk -147.4416 64.3663 8.2 4.1
ak021bt4ffvw -146.737 64.4374 3.9 4.9
ak0219dg4uxz -146.7704 64.4385 9.8 4.8
ak0218ot0chb -148.5865 68.6069 16.4 4.0
ak0215iqq51a -152.396 64.8296 19.400000000000002 4.3
ak0209z0oy4i -151.5358 64.1225 13.5 4.3
ak02053x632f -144.129 69.4079 5.7 4.1
ak0203l91abz -157.2513 66.2877 8.6 5.0
ak019g675trf -157.2698 66.3275 9.700000000000001 4.1
ak019g31cf0e -144.8593 69.5574 10.6 4.4
ak019edv3uuq -154.2455 67.0627 4.4 4.7
ak019ddh6gwg -157.2884 66.3422 6.3 5.2
ak019dd9qhea -157.2159 66.2966 6.3 5.4
ak019bg6payj -152.3668 64.5991 11.0 4.6
ak0198oydwoy -144.6222 69.1057 13.4 4.2
ak0198gdmarg -144.6355 69.1114 12.8 4.6
ak0198gdhuwa -144.6872 69.1167 13.9 5.3
ak0198gbkbu4 -166.1906 65.8176 23.0 4.1
ak0198ey5yyy -157.1808 66.2704 7.9 4.5
ak0197mmyxjj -157.2078 66.2949 6.3 4.5
ak0195xfh9zo -157.2369 66.2969 7.4 4.4
ak0195nlynig -157.1841 66.2263 5.7 4.0
ak0195kfk1kc -156.4973 67.3542 7.3 4.1
ak019574uo3u -157.2054 66.2801 7.1000000000000005 4.6
ak0194vdzjyo -157.2416 66.2991 9.3 4.8
ak0194n7hhj6 -149.1893 64.7347 19.900000000000002 4.5
ak0194ibqout -153.3586 65.3881 9.3 4.8
ak019400r8q9 -157.1856 66.2456 5.9 4.1
ak0193ycm3x7 -157.2143 66.3133 8.9 4.4
ak0193wxcfea -157.247 66.3061 8.5 5.0
ak0193g7lf43 -157.2243 66.2438 8.0 4.0
ak0193b44wv6 -144.4701 69.5209 12.8 4.3
ak01939oejs4 -157.2076 66.2756 8.1 4.5
ak019366iacs -145.4573 69.6304 13.1 4.2
ak0192zumrhu -157.2186 66.3108 9.1 5.2
ak0192mc2j6m -157.2256 66.2715 13.1 4.0
ak019263kdhw -144.0733 69.4858 13.8 4.0
ak0191w0zgvv -157.2255 66.3077 7.7 4.8
ak019p2unz7 -144.1918 69.4903 8.4 4.2
ak019ngj7hy -145.0847 69.6099 16.7 4.0
ak019ndzw4e -145.0687 69.599 15.8 4.1
ak019n5rosi -145.0273 69.624 5.6000000000000005 4.9
ak019k4nmjh -144.6465 69.1308 12.9 4.2
ak019guwi7r -144.7034 69.1454 11.0 4.1
ak019ezpqow -144.6726 69.1016 14.6 4.5
ak0199za3yf -153.2799 65.407 17.1 5.1
ak018gq3vdva -145.0271 69.561 17.900000000000002 4.5
ak018g66jrl0 -144.9286 69.5301 13.8 4.3
ak018fo7boo4 -144.947 69.5942 6.9 4.2
ak018exok9gi -166.7829 65.5734 10.8 4.0
ak018ep9y178 -144.3921 69.5355 7.9 4.1
ak018ep8q61f -166.779 65.5676 10.0 4.2
ak018ep8lmjf -166.807 65.5781 8.9 4.6
ak018ekig6gu -150.9466 64.7938 17.7 4.1
ak018efj6da9 -166.0882 67.9968 12.200000000000001 4.0
ak018dsf3btv -151.5744 65.2283 14.8 5.1
ak018dd9hnq1 -146.3403 69.0211 7.4 4.1
ak018da83wwq -145.0505 69.5833 16.4 4.1
ak018d8nlpcd -146.1286 69.0217 12.0 4.0
ak018d718yqc -156.3956 67.7739 10.5 5.0
ak018cyhsaze -144.8661 69.5496 14.8 4.0
ak018cqboglj -144.1478 69.4139 4.3 4.0
ak018cl5lkrj -146.3174 69.2103 7.3 4.2
ak018c1nz4l9 -144.2946 69.4964 9.3 4.0
ak018bzunh68 -144.1607 69.5676 16.5 5.1
ak018bt43tkf -147.0422 69.0588 14.6 4.0
ak018bfv88tt -145.3775 69.6233 17.3 4.0
ak018be7ojx4 -144.3273 69.5177 10.6 4.1
ak018b7my403 -144.9367 69.5759 19.1 4.5
ak018b4lg4sy -144.2439 69.5052 15.0 4.0
ak018b160qu2 -150.5718 65.178 16.9 4.7
ak018b13lw5m -144.8964 69.5602 18.2 4.1
ak018aswvwj1 -144.143 69.5234 14.200000000000001 4.0
ak018aspusyi -144.3146 69.4957 11.700000000000001 4.5
ak018anu8lce -145.199 69.578 9.8 4.5
ak018amcmumm -145.4517 69.6396 21.1 4.2
ak018am92po3 -144.9148 69.581 18.5 4.4
ak018akht57l -144.2256 69.4867 10.6 4.2
ak018akgatno -145.2582 69.6389 15.700000000000001 4.1
ak018akg7zql -144.2972 69.4857 15.700000000000001 4.5
ak018aixywwk -144.189 69.5194 13.6 4.0
ak018ah6tyku -144.2317 69.4617 7.0 4.5
ak018ah6ang1 -144.4176 69.4912 9.3 4.3
ak018ae1ar10 -144.7703 69.5672 13.700000000000001 4.5
ak018ae034ky -144.2361 69.473 7.6000000000000005 4.2
ak018acfg224 -144.459 69.5469 17.3 4.9
ak018acbvbfa -145.3279 69.6505 22.7 4.3
ak018acahybq -144.6331 69.5344 15.6 4.4
ak018ac9m46m -144.7871 69.5355 7.3 4.5
ak018ac8zxt5 -144.3751 69.4703 7.4 4.3
ak018ac6wakp -144.4359 69.5187 13.200000000000001 4.1
ak018aaufgk0 -144.1484 69.5289 18.2 4.1
ak018aau9585 -144.1032 69.3481 10.0 4.2
ak018aat2htg -144.3068 69.4516 15.5 5.0
ak018aasz24z -144.3388 69.5227 16.2 6.0
ak018aasmi5a -144.372 69.4511 19.5 4.1
ak018aarbcm7 -144.7315 69.5517 17.8 5.1
ak018aaqtqh5 -144.9492 69.539 13.3 4.0
ak018aaqomrx -144.8944 69.563 9.0 4.0
ak018aaq66sw -144.5926 69.4706 2.6 4.1
ak018aapx4ef -144.9583 69.5669 18.400000000000002 5.3
ak018aapea91 -144.7766 69.5599 13.4 5.0
ak018aap2cqu -145.291 69.5762 15.8 6.4
ak01860o8hgy -146.3667 67.4203 8.4 4.4
ak016gg2nkth -157.8336 67.0109 16.4 4.2
ak016frfe9e2 -150.0376 64.1937 24.5 4.3
ak016eaho2lt -150.0626 64.1639 23.2 4.0
ak0166dxn034 -151.0651 65.2466 15.200000000000001 4.2
ak0164qok4tv -162.8356 67.6364 13.700000000000001 4.3
ak01634ktrdx -158.2643 68.1602 32.2 4.0
ak0162kq0d9f -143.7574 65.6614 12.6 4.0
ak0162fousa0 -144.4676 69.1522 20.7 4.1
ak016scs6e1 -153.3132 66.3805 11.0 4.2
ak0159sevfjm -141.5477 66.138 14.200000000000001 4.0
ak01549xx0v9 -145.6949 67.5484 10.700000000000001 4.6
ak014dlss56k -149.0523 65.1644 20.1 5.0
ak014di87vgp -149.0413 65.1489 13.1 4.9
ak014b62vsxt -149.0523 65.1611 16.6 4.1
ak014b5xf1in -149.0398 65.1526 16.6 5.2
ak0147odwe1b -162.3165 67.6691 15.3 5.7
ak01479djus2 -162.375 67.7245 18.6 5.8
ak0145nk7efh -162.521 67.7186 26.2 5.7
ak0144yx3dwz -162.694 67.7023 26.900000000000002 5.7
ak0141iq8aeb -144.4359 69.1563 14.3 4.0
ak013beh9b5u -144.5434 69.1845 2.9 4.2
ak013b7wjdah -144.4802 69.2087 9.5 4.8
ak013ahfyjpm -141.0992 67.7282 8.0 4.2
ak01395cixs3 -144.6052 69.1595 13.5 4.2
ak01393k72qo -144.4969 69.1844 12.8 4.3
ak01376awf95 -149.6848 64.6426 13.9 4.0
ak0136nxv2ie -149.5583 66.2768 12.0 4.4
ak0131h9pyjn -144.4623 65.523 14.200000000000001 4.3
ak012b7m4lyf -147.7552 65.9709 12.6 4.1
ak012832lr53 -144.251 69.5393 10.0 4.3
ak0116hbqiri -166.8657 65.3739 20.1 5.0
ak0103g8l71n -150.3267 65.9302 19.6 4.0
ak0102at5963 -142.2033 66.2409 15.0 4.2
ak009fksmo51 -142.4722 66.8191 12.1 4.5
ak00974dr674 -157.5673 66.3985 28.6 4.4
ak008exoev7b -144.79 69.1068 27.8 4.3
ak008epgg4c9 -157.5722 66.3934 8.1 4.7
ak008e7a9oaz -157.9768 66.3439 4.9 4.3
ak00893mfmgu -149.5299 64.5917 30.5 4.1
ak0086cdn332 -141.994 66.4775 20.0 4.5
ak00839qpxux -146.8061 69.5377 10.0 4.4
ak00856o20f -142.3923 66.3218 10.0 4.0
ak007g1jxdul -142.1927 66.2576 0.7000000000000001 4.0
ak007fb37z26 -142.202 66.4381 5.9 4.6
ak007e41ml03 -142.3357 66.0252 28.1 4.0
ak0077ek9za9 -142.3143 66.2701 15.700000000000001 4.3
ak0074lngz9b -144.6228 69.6157 19.8 4.6
usp000exdm -140.571 65.962 19.400000000000002 4.1
ak006b7x36uk -142.3145 66.2766 10.1 4.4
ak006azbcjmf -142.355 66.3126 24.5 4.3
ak006azazae7 -141.9454 66.3168 10.9 4.3
ak00641las7x -142.3667 66.2614 18.3 4.2
ak0062edq8cv -142.3041 66.257 12.3 4.1
ak0062992xjb -142.2997 66.2778 15.6 4.3
ak0061qzu2vp -142.5549 66.2924 26.0 4.0
ak0061pbwltc -142.7646 66.3105 24.2 4.0
