event_id,datetime,cetroid_time,mw,mwc,delta_m,tshift,half_dur,latitude,longitude,d_lat,d_lon,depth,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
2352986,2005-01-18T08:36:04.241000Z,2005-01-18T08:36:06.300000Z,5.2,5.15,0.04999999999999982,2.059,0.9,-41.46338,175.78934,0.00534,0.00637,18.7637,-1.1592000000000001e+23,2.0150599999999998e+23,-8.5586e+22,-6.193300000000001e+22,5.40788e+23,-2.71311e+23,3.74e+23,-1.2e+22,-3.62e+23,-1.41e+23,5.31e+23,-1.33e+23
2353002,2005-01-18T09:26:00.068000Z,2005-01-18T09:26:01.100000Z,4.9,5.0,0.09999999999999964,1.032,0.8,-41.46357,175.80118,0.00577,0.00784,17.9664,3.4630000000000003e+22,3.9517e+22,-7.4147000000000006e+22,1.5331e+22,1.8681e+23,-1.12853e+23,3.44e+23,-5.99e+22,-2.84e+23,-2.08e+22,2.4e+23,-5.51e+22
2354133,2005-01-20T18:56:31.429000Z,2005-01-20T18:56:34.200000Z,5.3,5.26,0.040000000000000036,2.771,1.1,-41.09117,175.05261,0.00277,0.00344,30.8473,-1.1729360000000001e+24,8.096609999999999e+23,3.63275e+23,-1.9384300000000002e+23,1.89826e+23,4.40177e+23,-8.56e+23,6.91e+23,1.65e+23,-2.8e+23,1.42e+23,4.61e+23
2359081,2005-01-31T17:31:53.291000Z,2005-01-31T17:31:57.500000Z,5.1,5.04,0.05999999999999961,4.209,0.9,-41.45723,175.76167,0.01172,0.01356,19.8533,3.6469699999999995e+23,-2.5371100000000002e+23,-1.1098599999999998e+23,-2.1312e+22,1.67708e+23,-4.33204e+23,1.22e+23,-1.1e+23,-1.19e+22,-2.23e+22,3.61e+23,-2.64e+23
2366369,2005-02-17T21:31:10.175000Z,,4.6,,,,,-39.90409,174.60245,0.00348,0.00574,27.9034,5.8533e+22,-4.9068e+22,-9.465e+21,4.49e+22,5.6875e+22,-3.3779e+22,,,,,,
2399117,2005-05-03T15:51:51.749000Z,,4.9,,,,,-38.22597,179.44234,0.0146,0.02599,12.0,2.02515e+23,-3.6857e+22,-1.65658e+23,5.2653e+22,1.08743e+23,-6.0374e+22,,,,,,
2403682,2005-05-13T17:07:58.500000Z,2005-05-13T17:08:04.300000Z,5.3,5.12,0.17999999999999972,5.8,0.9,-38.21132,179.47336,0.00905,0.01591,12.0,4.13893e+23,3.1954899999999995e+23,-7.33442e+23,1.36053e+23,8.75695e+23,-4.23125e+23,2.73e+23,2.94e+22,-3.02e+23,2.29e+23,4.77e+23,-1.03e+23
2404281,2005-05-15T00:05:26.483000Z,,5.0,,,,,-38.24965,179.3779,0.01536,0.03242,5.0,2.14533e+23,-3.8963999999999995e+22,-1.75569e+23,1.46803e+23,2.80421e+23,-4.5881e+22,,,,,,
2421974,2005-06-23T12:15:58.563000Z,,4.7,,,,,-41.97583,173.88609,0.00975,0.01226,16.5228,-1.9780000000000003e+22,8.2155e+22,-6.2375e+22,7.2817e+22,-2.2e+22,-5.5045e+22,,,,,,
2498995,2005-12-12T13:55:47.784000Z,,4.7,,,,,-40.51475,176.05434,0.00546,0.01144,26.0308,-1.07423e+23,5.6879999999999996e+22,5.0543e+22,5.3762e+22,1.2983e+22,4.9114e+22,,,,,,
