station_method z h g
ECLS_amplitude 1807 3589 3874
ECLS_integral 450 219 192
GHHS_amplitude 1741 2683 2888
GHHS_integral 377 171 164
GISS_amplitude 2384 2136 2172
GISS_integral 386 136 141
GKBS_amplitude 2551 1420 1580
GKBS_integral 390 135 139
GWTS_amplitude 1360 849 1036
GWTS_integral 425 90 91
HNPS_amplitude 774 928 971
HNPS_integral 249 49 49
KFHS_amplitude 706 725 821
KFHS_integral 305 43 44
OPCS_amplitude 871 324 344
OPCS_integral 402 37 40
ORCS_amplitude 535 445 553
ORCS_integral 149 39 42
TBAS_amplitude 2520 2794 3158
TBAS_integral 464 206 205
TDHS_amplitude 1522 3406 3721
TDHS_integral 365 187 187
TUDS_amplitude 582 672 983
TUDS_integral 286 42 44
WFSS_amplitude 1652 500 709
WFSS_integral 431 67 77
